,precio_usd
2022-04-29,18.5168
2022-05-31,18.6416
2022-06-30,15.1376
2022-07-29,18.1373
2022-08-31,15.0726
2022-09-30,12.1254
2022-10-31,13.4818
2022-11-30,16.908
2022-12-30,14.601
2023-01-31,19.5197
2023-02-28,23.1954
2023-03-31,27.7571
2023-04-28,27.7291
2023-05-31,37.8069
2023-06-30,42.2762
2023-07-31,46.7005
2023-08-31,49.3249
2023-09-29,43.4762
2023-10-31,40.7586
2023-11-30,46.7455
2023-12-29,49.5003
2024-01-31,61.5
2024-02-29,79.0773
2024-03-28,90.3206
2024-04-30,86.3681
2024-05-31,109.59
2024-06-28,123.5018
2024-07-31,116.9838
2024-08-30,119.3331
2024-09-30,121.4126
2024-10-31,132.7301
2024-11-29,138.2188
2024-12-31,134.269
2025-01-31,120.0512
2025-02-28,124.9005
2025-03-31,108.3724
2025-04-30,108.9124
2025-05-30,135.1205
2025-06-30,157.99
2025-07-03,159.34
